,Speech,Mean_Score
0,SUB001_SPEECH001,5.5
1,SUB002_SPEECH001,5.0
2,SUB003_SPEECH001,4.35
3,SUB005_SPEECH001,4.75
4,SUB005_SPEECH002,4.3
5,SUB006_SPEECH001,5.1
6,SUB006_SPEECH002,4.9
7,SUB007_SPEECH001,5.7
8,SUB007_SPEECH002,4.9
9,SUB008_SPEECH001,4.35
10,SUB013_SPEECH001,6.0
11,SUB013_SPEECH002,6.1
12,SUB015_SPEECH001,4.8
13,SUB015_SPEECH002,5.45
14,SUB016_SPEECH001,3.75
15,SUB016_SPEECH002,4.0
16,SUB017_SPEECH002,4.4
17,SUB018_SPEECH001,4.1
18,SUB018_SPEECH002,4.95
19,SUB019_SPEECH002,6.0
20,SUB020_SPEECH001,6.75
21,SUB020_SPEECH002,6.75
22,SUB021_SPEECH001,4.35
23,SUB021_SPEECH002,5.1
24,SUB022_SPEECH001,4.6
25,SUB022_SPEECH002,4.75
26,SUB023_SPEECH001,5.9
27,SUB023_SPEECH002,5.8
28,SUB024_SPEECH001,5.95
29,SUB024_SPEECH002,5.9
30,SUB025_SPEECH001,6.35
31,SUB025_SPEECH002,6.25
32,SUB026_SPEECH001,5.6
33,SUB026_SPEECH002,6.1
34,SUB027_SPEECH001,6.2
35,SUB027_SPEECH002,6.0
36,SUB028_SPEECH001,6.6
37,SUB028_SPEECH002,6.95
38,SUB029_SPEECH001,6.2
39,SUB029_SPEECH002,4.1
40,SUB030_SPEECH001,5.45
41,SUB030_SPEECH002,5.2
42,SUB031_SPEECH001,5.65
43,SUB031_SPEECH002,5.25
44,SUB032_SPEECH001,6.05
45,SUB032_SPEECH002,5.95
46,SUB033_SPEECH001,5.2
47,SUB033_SPEECH002,5.55
48,SUB034_SPEECH001,6.1
49,SUB034_SPEECH002,6.4
50,SUB035_SPEECH001,6.35
51,SUB035_SPEECH002,6.1
52,SUB038_SPEECH001,6.1
53,SUB038_SPEECH002,7.05
54,SUB039_SPEECH001,5.5
55,SUB039_SPEECH002,4.15
56,SUB042_SPEECH001,5.5
57,SUB042_SPEECH002,6.25
58,SUB043_SPEECH001,5.45
59,SUB043_SPEECH002,4.65
60,SUB044_SPEECH001,6.55
61,SUB044_SPEECH002,7.45
62,SUB045_SPEECH002,5.0
63,SUB046_SPEECH002,5.25
64,SUB047_SPEECH001,6.15
65,SUB047_SPEECH002,6.3
66,SUB048_SPEECH001,6.1
67,SUB048_SPEECH002,6.85
68,SUB049_SPEECH001,4.6
69,SUB049_SPEECH002,5.45
70,SUB050_SPEECH001,6.15
71,SUB050_SPEECH002,5.6
72,SUB051_SPEECH001,5.5
73,SUB051_SPEECH002,5.55
74,SUB052_SPEECH001,6.4
75,SUB052_SPEECH002,5.6
76,SUB054_SPEECH001,7.25
77,SUB054_SPEECH002,7.25
78,SUB055_SPEECH001,5.95
79,SUB055_SPEECH002,6.4
80,SUB056_SPEECH001,6.5
81,SUB056_SPEECH002,7.1
82,SUB057_SPEECH001,5.1
83,SUB057_SPEECH002,5.9
84,SUB058_SPEECH001,6.65
85,SUB058_SPEECH002,5.5
86,SUB059_SPEECH001,7.1
87,SUB059_SPEECH002,7.35
88,SUB060_SPEECH001,7.1
89,SUB060_SPEECH002,7.5
90,SUB061_SPEECH001,5.35
91,SUB061_SPEECH002,5.55
92,SUB062_SPEECH001,5.2
93,SUB062_SPEECH002,5.3
94,SUB063_SPEECH001,4.45
95,SUB063_SPEECH002,5.05
96,SUB064_SPEECH001,7.0
97,SUB064_SPEECH002,7.3
98,SUB065_SPEECH001,7.0
99,SUB065_SPEECH002,6.65
100,SUB066_SPEECH001,5.1
101,SUB066_SPEECH002,5.65
102,SUB067_SPEECH001,4.55
103,SUB068_SPEECH001,5.25
104,SUB068_SPEECH002,5.3
105,SUB069_SPEECH001,5.4
106,SUB069_SPEECH002,5.8
107,SUB070_SPEECH001,6.25
108,SUB070_SPEECH002,5.25
109,SUB071_SPEECH001,5.55
110,SUB071_SPEECH002,6.3
111,SUB072_SPEECH001,6.7
112,SUB072_SPEECH002,6.8
113,SUB073_SPEECH001,6.05
114,SUB074_SPEECH001,5.75
115,SUB074_SPEECH002,5.85
116,SUB075_SPEECH001,6.15
117,SUB075_SPEECH002,5.85
118,SUB076_SPEECH001,4.75
119,SUB076_SPEECH002,5.7
120,SUB077_SPEECH001,7.25
121,SUB077_SPEECH002,7.8
122,SUB078_SPEECH001,6.55
123,SUB078_SPEECH002,6.9
124,SUB079_SPEECH001,7.45
125,SUB079_SPEECH002,7.15
126,SUB080_SPEECH001,5.1
127,SUB080_SPEECH002,5.35
