,Speech,Mean_Score
0,SUB001_SPEECH001,4.2
1,SUB002_SPEECH001,4.1
2,SUB003_SPEECH001,3.9
3,SUB005_SPEECH001,3.7
4,SUB005_SPEECH002,3.7
5,SUB006_SPEECH001,4.2
6,SUB006_SPEECH002,4.0
7,SUB007_SPEECH001,4.5
8,SUB007_SPEECH002,3.7
9,SUB008_SPEECH001,3.6
10,SUB013_SPEECH001,4.8
11,SUB013_SPEECH002,4.3
12,SUB015_SPEECH001,3.6
13,SUB015_SPEECH002,3.9
14,SUB016_SPEECH001,3.4
15,SUB016_SPEECH002,3.6
16,SUB017_SPEECH002,3.2
17,SUB018_SPEECH001,3.7
18,SUB018_SPEECH002,4.1
19,SUB019_SPEECH002,4.9
20,SUB020_SPEECH001,6.1
21,SUB020_SPEECH002,5.5
22,SUB021_SPEECH001,4.0
23,SUB021_SPEECH002,3.9
24,SUB022_SPEECH001,3.3
25,SUB022_SPEECH002,3.8
26,SUB023_SPEECH001,4.8
27,SUB023_SPEECH002,4.6
28,SUB024_SPEECH001,4.9
29,SUB024_SPEECH002,4.9
30,SUB025_SPEECH001,4.8
31,SUB025_SPEECH002,5.4
32,SUB026_SPEECH001,4.8
33,SUB026_SPEECH002,5.0
34,SUB027_SPEECH001,5.7
35,SUB027_SPEECH002,5.3
36,SUB028_SPEECH001,5.7
37,SUB028_SPEECH002,5.8
38,SUB029_SPEECH001,5.3
39,SUB029_SPEECH002,3.9
40,SUB030_SPEECH001,4.2
41,SUB030_SPEECH002,4.1
42,SUB031_SPEECH001,4.4
43,SUB031_SPEECH002,3.9
44,SUB032_SPEECH001,5.0
45,SUB032_SPEECH002,4.7
46,SUB033_SPEECH001,4.4
47,SUB033_SPEECH002,3.8
48,SUB034_SPEECH001,5.4
49,SUB034_SPEECH002,5.6
50,SUB035_SPEECH001,5.3
51,SUB035_SPEECH002,4.7
52,SUB038_SPEECH001,5.2
53,SUB038_SPEECH002,5.7
54,SUB039_SPEECH001,4.2
55,SUB039_SPEECH002,3.5
56,SUB042_SPEECH001,4.0
57,SUB042_SPEECH002,4.8
58,SUB043_SPEECH001,4.0
59,SUB043_SPEECH002,4.2
60,SUB044_SPEECH001,5.6
61,SUB044_SPEECH002,6.9
62,SUB045_SPEECH002,3.7
63,SUB046_SPEECH002,4.2
64,SUB047_SPEECH001,5.0
65,SUB047_SPEECH002,4.6
66,SUB048_SPEECH001,5.0
67,SUB048_SPEECH002,5.6
68,SUB049_SPEECH001,3.9
69,SUB049_SPEECH002,3.9
70,SUB050_SPEECH001,5.3
71,SUB050_SPEECH002,5.1
72,SUB051_SPEECH001,4.4
73,SUB051_SPEECH002,4.0
74,SUB052_SPEECH001,5.2
75,SUB052_SPEECH002,4.1
76,SUB054_SPEECH001,5.8
77,SUB054_SPEECH002,6.0
78,SUB055_SPEECH001,4.9
79,SUB055_SPEECH002,5.7
80,SUB056_SPEECH001,4.8
81,SUB056_SPEECH002,6.4
82,SUB057_SPEECH001,4.0
83,SUB057_SPEECH002,4.4
84,SUB058_SPEECH001,5.2
85,SUB058_SPEECH002,4.1
86,SUB059_SPEECH001,5.8
87,SUB059_SPEECH002,6.5
88,SUB060_SPEECH001,5.8
89,SUB060_SPEECH002,6.7
90,SUB061_SPEECH001,4.0
91,SUB061_SPEECH002,4.2
92,SUB062_SPEECH001,4.2
93,SUB062_SPEECH002,4.2
94,SUB063_SPEECH001,3.8
95,SUB063_SPEECH002,3.8
96,SUB064_SPEECH001,6.2
97,SUB064_SPEECH002,6.6
98,SUB065_SPEECH001,5.8
99,SUB065_SPEECH002,5.9
100,SUB066_SPEECH001,4.3
101,SUB066_SPEECH002,4.3
102,SUB067_SPEECH001,3.8
103,SUB068_SPEECH001,4.2
104,SUB068_SPEECH002,4.3
105,SUB069_SPEECH001,4.1
106,SUB069_SPEECH002,4.6
107,SUB070_SPEECH001,5.0
108,SUB070_SPEECH002,4.5
109,SUB071_SPEECH001,4.4
110,SUB071_SPEECH002,5.1
111,SUB072_SPEECH001,5.3
112,SUB072_SPEECH002,5.7
113,SUB073_SPEECH001,5.1
114,SUB074_SPEECH001,4.5
115,SUB074_SPEECH002,4.8
116,SUB075_SPEECH001,4.9
117,SUB075_SPEECH002,4.7
118,SUB076_SPEECH001,3.9
119,SUB076_SPEECH002,4.5
120,SUB077_SPEECH001,6.3
121,SUB077_SPEECH002,7.0
122,SUB078_SPEECH001,5.2
123,SUB078_SPEECH002,5.5
124,SUB079_SPEECH001,6.7
125,SUB079_SPEECH002,6.6
126,SUB080_SPEECH001,4.1
127,SUB080_SPEECH002,4.1
