,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#1_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#2_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#3_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#4_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#5_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#1_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#2_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#3_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#4_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#5_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#1_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#2_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#3_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#4_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#5_rating,name
0,4,4,4,4,6,4,4,5,5,5,7,6,8,6,8,SUB001_SPEECH001
1,4,4,4,4,4,5,4,4,3,5,7,8,8,8,8,SUB002_SPEECH001
2,4,4,4,4,4,3,4,4,3,4,6,7,7,3,6,SUB003_SPEECH001
3,4,4,4,4,5,4,3,4,3,3,9,8,8,8,8,SUB005_SPEECH001
4,4,3,4,4,4,3,3,4,3,4,6,6,6,8,6,SUB005_SPEECH002
5,4,4,4,4,4,4,4,4,4,5,6,6,6,7,8,SUB006_SPEECH001
6,4,4,4,4,4,4,3,4,4,4,6,6,8,6,7,SUB006_SPEECH002
7,4,4,5,4,4,5,6,5,5,6,7,6,8,7,8,SUB007_SPEECH001
8,4,4,4,3,4,4,4,4,3,4,6,7,8,7,6,SUB007_SPEECH002
9,4,4,4,4,4,3,3,4,3,3,5,8,8,8,9,SUB008_SPEECH001
10,4,4,5,4,6,6,6,5,4,5,6,8,8,9,8,SUB013_SPEECH001
11,6,4,4,4,6,5,5,5,4,7,8,8,8,7,7,SUB013_SPEECH002
12,4,4,4,3,4,4,4,4,4,3,6,7,8,7,8,SUB015_SPEECH001
13,4,4,4,3,4,5,4,4,3,4,7,8,8,8,9,SUB015_SPEECH002
14,4,3,3,3,4,3,3,3,3,3,7,8,6,4,8,SUB016_SPEECH001
15,4,3,4,3,4,3,4,3,3,4,6,5,6,8,6,SUB016_SPEECH002
16,3,3,4,4,4,3,3,3,3,3,8,5,7,6,9,SUB017_SPEECH002
17,4,4,4,4,4,3,3,4,3,3,3,6,8,8,5,SUB018_SPEECH001
18,4,4,4,4,4,5,4,4,3,4,6,8,7,7,9,SUB018_SPEECH002
19,4,4,5,4,6,5,5,5,5,6,7,9,8,8,8,SUB019_SPEECH002
20,6,6,6,6,7,7,6,6,6,6,7,8,9,8,9,SUB020_SPEECH001
21,6,4,6,6,6,5,6,6,4,6,8,7,8,8,9,SUB020_SPEECH002
22,4,4,4,4,4,3,4,4,3,3,6,6,6,6,6,SUB021_SPEECH001
23,4,4,4,4,4,3,4,4,4,4,8,7,7,7,6,SUB021_SPEECH002
24,4,4,4,3,4,3,4,4,3,3,6,6,8,8,8,SUB022_SPEECH001
25,4,4,4,4,4,4,4,4,4,4,8,8,6,8,7,SUB022_SPEECH002
26,5,6,5,4,6,5,5,4,4,5,7,6,8,8,9,SUB023_SPEECH001
27,4,4,4,4,6,5,5,5,4,5,8,9,8,8,7,SUB023_SPEECH002
28,6,4,4,4,6,5,5,5,5,5,8,8,8,7,8,SUB024_SPEECH001
29,6,4,6,4,6,5,5,5,6,4,6,6,8,4,8,SUB024_SPEECH002
30,6,4,4,4,6,5,5,6,5,4,8,8,8,7,7,SUB025_SPEECH001
31,6,4,5,5,6,5,5,6,4,5,7,8,8,8,9,SUB025_SPEECH002
32,4,4,4,4,6,5,5,4,4,5,8,7,8,6,8,SUB026_SPEECH001
33,5,4,6,4,6,6,5,6,5,5,8,8,7,8,8,SUB026_SPEECH002
34,6,4,6,6,6,5,5,5,5,6,6,8,8,8,7,SUB027_SPEECH001
35,6,6,6,6,6,5,5,4,4,5,8,6,8,8,7,SUB027_SPEECH002
36,6,6,6,6,6,5,6,5,5,5,9,8,8,8,7,SUB028_SPEECH001
37,6,6,6,6,6,6,6,6,6,5,8,8,8,8,8,SUB028_SPEECH002
38,6,6,4,6,6,6,6,6,6,5,6,6,8,9,8,SUB029_SPEECH001
39,4,4,4,4,6,4,5,4,3,4,4,6,6,7,7,SUB029_SPEECH002
40,5,4,4,4,4,5,5,4,5,5,6,7,6,6,8,SUB030_SPEECH001
41,4,4,4,4,4,4,5,5,4,4,6,6,8,9,9,SUB030_SPEECH002
42,4,4,4,4,6,4,4,4,4,4,8,8,8,9,8,SUB031_SPEECH001
43,4,4,4,4,4,4,4,4,4,5,7,7,8,8,6,SUB031_SPEECH002
44,6,5,4,4,6,5,5,4,5,5,8,8,8,8,8,SUB032_SPEECH001
45,6,4,6,4,6,4,4,4,3,5,6,8,8,8,6,SUB032_SPEECH002
46,4,4,4,4,6,5,5,4,4,5,7,7,8,9,8,SUB033_SPEECH001
47,4,4,4,4,4,5,4,4,4,4,8,8,8,8,8,SUB033_SPEECH002
48,6,4,5,4,4,6,6,6,6,6,8,7,7,8,7,SUB034_SPEECH001
49,6,4,4,5,6,6,5,6,6,6,9,8,8,9,8,SUB034_SPEECH002
50,6,5,6,6,6,6,5,4,5,4,8,8,7,8,7,SUB035_SPEECH001
51,6,4,4,4,6,5,4,4,3,5,7,8,8,8,9,SUB035_SPEECH002
52,6,4,6,4,6,5,4,5,4,6,7,7,7,7,8,SUB038_SPEECH001
53,6,4,6,6,7,6,5,6,6,6,9,8,9,8,9,SUB038_SPEECH002
54,4,4,4,4,6,4,4,4,4,4,8,6,8,7,9,SUB039_SPEECH001
55,4,4,4,4,4,3,4,3,3,4,4,7,6,3,6,SUB039_SPEECH002
56,4,4,4,4,4,5,4,4,5,5,8,5,8,8,8,SUB042_SPEECH001
