,Speech,Mean_Score
0,SUB001_SPEECH001,4.311111111111111
1,SUB002_SPEECH001,3.988888888888889
2,SUB003_SPEECH001,3.7
3,SUB005_SPEECH001,3.577777777777778
4,SUB005_SPEECH002,3.5555555555555554
5,SUB006_SPEECH001,3.7444444444444445
6,SUB006_SPEECH002,3.8666666666666667
7,SUB007_SPEECH001,4.433333333333334
8,SUB007_SPEECH002,3.7333333333333334
9,SUB008_SPEECH001,3.588888888888889
10,SUB013_SPEECH001,4.866666666666666
11,SUB013_SPEECH002,4.833333333333333
12,SUB015_SPEECH001,3.611111111111111
13,SUB015_SPEECH002,3.9444444444444446
14,SUB016_SPEECH001,3.088888888888889
15,SUB016_SPEECH002,3.4
16,SUB017_SPEECH002,3.577777777777778
17,SUB018_SPEECH001,3.4
18,SUB018_SPEECH002,3.911111111111111
19,SUB019_SPEECH002,4.722222222222222
20,SUB020_SPEECH001,5.288888888888889
21,SUB020_SPEECH002,5.122222222222222
22,SUB021_SPEECH001,3.6222222222222222
23,SUB021_SPEECH002,3.7888888888888888
24,SUB022_SPEECH001,3.7333333333333334
25,SUB022_SPEECH002,3.7777777777777777
26,SUB023_SPEECH001,4.844444444444444
27,SUB023_SPEECH002,4.1
28,SUB024_SPEECH001,4.511111111111111
29,SUB024_SPEECH002,4.7444444444444445
30,SUB025_SPEECH001,4.933333333333334
31,SUB025_SPEECH002,4.544444444444444
32,SUB026_SPEECH001,4.2444444444444445
33,SUB026_SPEECH002,5.133333333333334
34,SUB027_SPEECH001,4.4
35,SUB027_SPEECH002,4.555555555555555
36,SUB028_SPEECH001,4.9
37,SUB028_SPEECH002,5.7
38,SUB029_SPEECH001,4.566666666666666
39,SUB029_SPEECH002,3.433333333333333
40,SUB030_SPEECH001,4.455555555555556
41,SUB030_SPEECH002,4.0777777777777775
42,SUB031_SPEECH001,4.0777777777777775
43,SUB031_SPEECH002,3.7222222222222223
44,SUB032_SPEECH001,4.488888888888889
45,SUB032_SPEECH002,4.588888888888889
46,SUB033_SPEECH001,4.211111111111111
47,SUB033_SPEECH002,3.811111111111111
48,SUB034_SPEECH001,4.933333333333334
49,SUB034_SPEECH002,4.544444444444444
50,SUB035_SPEECH001,5.111111111111111
51,SUB035_SPEECH002,4.1
52,SUB038_SPEECH001,4.766666666666667
53,SUB038_SPEECH002,4.544444444444444
54,SUB039_SPEECH001,3.8555555555555556
55,SUB039_SPEECH002,3.6222222222222222
56,SUB042_SPEECH001,4.011111111111111
57,SUB042_SPEECH002,4.433333333333334
58,SUB043_SPEECH001,3.8
59,SUB043_SPEECH002,3.8666666666666667
60,SUB044_SPEECH001,4.9
61,SUB044_SPEECH002,5.888888888888889
62,SUB045_SPEECH002,3.566666666666667
63,SUB046_SPEECH002,3.911111111111111
64,SUB047_SPEECH001,4.433333333333334
65,SUB047_SPEECH002,4.288888888888889
66,SUB048_SPEECH001,4.466666666666667
67,SUB048_SPEECH002,5.155555555555556
68,SUB049_SPEECH001,3.6444444444444444
69,SUB049_SPEECH002,3.8555555555555556
70,SUB050_SPEECH001,4.766666666666667
71,SUB050_SPEECH002,4.311111111111111
72,SUB051_SPEECH001,3.8333333333333335
73,SUB051_SPEECH002,3.9444444444444446
74,SUB052_SPEECH001,4.822222222222222
75,SUB052_SPEECH002,4.044444444444444
76,SUB054_SPEECH001,5.466666666666667
77,SUB054_SPEECH002,5.933333333333334
78,SUB055_SPEECH001,4.811111111111111
79,SUB055_SPEECH002,4.911111111111111
80,SUB056_SPEECH001,4.7
81,SUB056_SPEECH002,5.722222222222222
82,SUB057_SPEECH001,4.222222222222222
83,SUB057_SPEECH002,4.144444444444445
84,SUB058_SPEECH001,4.544444444444444
85,SUB058_SPEECH002,3.933333333333333
86,SUB059_SPEECH001,5.511111111111111
87,SUB059_SPEECH002,5.855555555555555
88,SUB060_SPEECH001,5.444444444444445
89,SUB060_SPEECH002,5.911111111111111
90,SUB061_SPEECH001,4.122222222222222
91,SUB061_SPEECH002,4.122222222222222
92,SUB062_SPEECH001,4.122222222222222
93,SUB062_SPEECH002,3.9555555555555557
94,SUB063_SPEECH001,3.7
95,SUB063_SPEECH002,3.8777777777777778
96,SUB064_SPEECH001,5.166666666666667
97,SUB064_SPEECH002,5.7
98,SUB065_SPEECH001,4.966666666666667
99,SUB065_SPEECH002,5.266666666666667
100,SUB066_SPEECH001,4.044444444444444
101,SUB066_SPEECH002,4.044444444444444
102,SUB067_SPEECH001,3.7555555555555555
103,SUB068_SPEECH001,4.211111111111111
104,SUB068_SPEECH002,3.7666666666666666
105,SUB069_SPEECH001,3.888888888888889
106,SUB069_SPEECH002,4.3
107,SUB070_SPEECH001,4.833333333333333
108,SUB070_SPEECH002,3.911111111111111
109,SUB071_SPEECH001,3.922222222222222
110,SUB071_SPEECH002,4.4222222222222225
111,SUB072_SPEECH001,5.155555555555556
112,SUB072_SPEECH002,4.855555555555555
113,SUB073_SPEECH001,4.733333333333333
114,SUB074_SPEECH001,3.8444444444444446
115,SUB074_SPEECH002,4.588888888888889
116,SUB075_SPEECH001,4.622222222222222
117,SUB075_SPEECH002,4.111111111111111
118,SUB076_SPEECH001,3.588888888888889
119,SUB076_SPEECH002,4.133333333333334
120,SUB077_SPEECH001,5.722222222222222
121,SUB077_SPEECH002,6.011111111111111
122,SUB078_SPEECH001,4.988888888888889
123,SUB078_SPEECH002,5.511111111111111
124,SUB079_SPEECH001,5.688888888888889
125,SUB079_SPEECH002,5.666666666666667
126,SUB080_SPEECH001,4.022222222222222
127,SUB080_SPEECH002,3.577777777777778
