,Speech,Mean_Score
0,SUB001_SPEECH001,4.6
1,SUB002_SPEECH001,4.3
2,SUB003_SPEECH001,3.8
3,SUB005_SPEECH001,3.8
4,SUB005_SPEECH002,3.8
5,SUB006_SPEECH001,4.3
6,SUB006_SPEECH002,3.9
7,SUB007_SPEECH001,4.6
8,SUB007_SPEECH002,4.0
9,SUB008_SPEECH001,3.6
10,SUB013_SPEECH001,5.1
11,SUB013_SPEECH002,5.2
12,SUB015_SPEECH001,4.2
13,SUB015_SPEECH002,4.2
14,SUB016_SPEECH001,3.2
15,SUB016_SPEECH002,3.7
16,SUB017_SPEECH002,3.7
17,SUB018_SPEECH001,3.5
18,SUB018_SPEECH002,4.4
19,SUB019_SPEECH002,4.9
20,SUB020_SPEECH001,5.4
21,SUB020_SPEECH002,5.1
22,SUB021_SPEECH001,3.9
23,SUB021_SPEECH002,4.0
24,SUB022_SPEECH001,3.8
25,SUB022_SPEECH002,4.1
26,SUB023_SPEECH001,5.6
27,SUB023_SPEECH002,3.9
28,SUB024_SPEECH001,5.1
29,SUB024_SPEECH002,5.0
30,SUB025_SPEECH001,5.3
31,SUB025_SPEECH002,4.8
32,SUB026_SPEECH001,4.5
33,SUB026_SPEECH002,5.8
34,SUB027_SPEECH001,4.2
35,SUB027_SPEECH002,4.6
36,SUB028_SPEECH001,5.1
37,SUB028_SPEECH002,5.9
38,SUB029_SPEECH001,4.7
39,SUB029_SPEECH002,3.9
40,SUB030_SPEECH001,4.4
41,SUB030_SPEECH002,4.0
42,SUB031_SPEECH001,4.1
43,SUB031_SPEECH002,3.9
44,SUB032_SPEECH001,5.0
45,SUB032_SPEECH002,5.4
46,SUB033_SPEECH001,4.6
47,SUB033_SPEECH002,3.8
48,SUB034_SPEECH001,5.1
49,SUB034_SPEECH002,4.8
50,SUB035_SPEECH001,6.0
51,SUB035_SPEECH002,4.2
52,SUB038_SPEECH001,5.0
53,SUB038_SPEECH002,4.7
54,SUB039_SPEECH001,4.2
55,SUB039_SPEECH002,3.8
56,SUB042_SPEECH001,4.4
57,SUB042_SPEECH002,5.1
58,SUB043_SPEECH001,4.0
59,SUB043_SPEECH002,4.1
60,SUB044_SPEECH001,5.0
61,SUB044_SPEECH002,6.4
62,SUB045_SPEECH002,3.9
63,SUB046_SPEECH002,4.1
64,SUB047_SPEECH001,4.6
65,SUB047_SPEECH002,4.5
66,SUB048_SPEECH001,5.1
67,SUB048_SPEECH002,5.1
68,SUB049_SPEECH001,3.8
69,SUB049_SPEECH002,4.1
70,SUB050_SPEECH001,4.8
71,SUB050_SPEECH002,4.8
72,SUB051_SPEECH001,4.2
73,SUB051_SPEECH002,4.0
74,SUB052_SPEECH001,4.7
75,SUB052_SPEECH002,4.2
76,SUB054_SPEECH001,5.8
77,SUB054_SPEECH002,6.4
78,SUB055_SPEECH001,5.1
79,SUB055_SPEECH002,4.8
80,SUB056_SPEECH001,5.2
81,SUB056_SPEECH002,6.2
82,SUB057_SPEECH001,4.9
83,SUB057_SPEECH002,4.5
84,SUB058_SPEECH001,4.9
85,SUB058_SPEECH002,4.1
86,SUB059_SPEECH001,6.1
87,SUB059_SPEECH002,6.4
88,SUB060_SPEECH001,6.0
89,SUB060_SPEECH002,6.0
90,SUB061_SPEECH001,4.7
91,SUB061_SPEECH002,4.3
92,SUB062_SPEECH001,4.3
93,SUB062_SPEECH002,3.9
94,SUB063_SPEECH001,3.8
95,SUB063_SPEECH002,4.2
96,SUB064_SPEECH001,5.4
97,SUB064_SPEECH002,5.6
98,SUB065_SPEECH001,5.7
99,SUB065_SPEECH002,5.8
100,SUB066_SPEECH001,4.2
101,SUB066_SPEECH002,4.6
102,SUB067_SPEECH001,4.0
103,SUB068_SPEECH001,4.4
104,SUB068_SPEECH002,4.1
105,SUB069_SPEECH001,3.8
106,SUB069_SPEECH002,4.7
107,SUB070_SPEECH001,5.6
108,SUB070_SPEECH002,4.1
109,SUB071_SPEECH001,4.2
110,SUB071_SPEECH002,4.7
111,SUB072_SPEECH001,5.7
112,SUB072_SPEECH002,5.3
113,SUB073_SPEECH001,4.9
114,SUB074_SPEECH001,4.0
115,SUB074_SPEECH002,4.4
116,SUB075_SPEECH001,4.6
117,SUB075_SPEECH002,4.3
118,SUB076_SPEECH001,3.9
119,SUB076_SPEECH002,3.9
120,SUB077_SPEECH001,6.0
121,SUB077_SPEECH002,6.3
122,SUB078_SPEECH001,5.1
123,SUB078_SPEECH002,5.8
124,SUB079_SPEECH001,5.8
125,SUB079_SPEECH002,5.9
126,SUB080_SPEECH001,4.1
127,SUB080_SPEECH002,3.8
