,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#1_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#2_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#3_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#4_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#5_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#1_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#2_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#3_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#4_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#5_rating,name
0,4,4,4,4,6,4,4,4,4,4,SUB001_SPEECH001
1,4,4,4,4,4,5,4,4,4,4,SUB002_SPEECH001
2,4,4,4,4,4,4,3,4,4,4,SUB003_SPEECH001
3,4,4,4,4,4,4,3,4,3,3,SUB005_SPEECH001
4,4,4,4,4,4,3,3,4,3,4,SUB005_SPEECH002
5,4,4,4,3,4,5,5,4,4,5,SUB006_SPEECH001
6,4,4,4,4,4,4,4,4,4,4,SUB006_SPEECH002
7,4,4,5,4,4,5,4,5,5,5,SUB007_SPEECH001
8,4,4,4,3,4,3,4,4,3,4,SUB007_SPEECH002
9,4,4,4,4,4,3,3,4,3,3,SUB008_SPEECH001
10,5,4,5,4,6,6,5,4,4,5,SUB013_SPEECH001
11,4,4,4,4,6,6,3,6,4,2,SUB013_SPEECH002
12,4,3,4,4,4,3,3,4,3,4,SUB015_SPEECH001
13,4,3,4,4,4,4,4,4,4,4,SUB015_SPEECH002
14,3,3,4,4,4,3,3,3,3,4,SUB016_SPEECH001
15,4,3,4,3,4,4,3,4,3,4,SUB016_SPEECH002
16,3,3,4,3,4,3,3,3,3,3,SUB017_SPEECH002
17,4,4,4,4,4,3,3,4,3,4,SUB018_SPEECH001
18,4,4,4,4,4,4,4,4,4,5,SUB018_SPEECH002
19,4,4,5,4,6,5,5,5,6,5,SUB019_SPEECH002
20,6,6,6,6,7,6,6,6,6,6,SUB020_SPEECH001
21,6,4,6,6,6,5,6,5,5,6,SUB020_SPEECH002
22,4,4,4,4,4,4,4,4,4,4,SUB021_SPEECH001
23,4,4,4,4,6,3,3,4,3,4,SUB021_SPEECH002
24,3,3,3,3,4,3,3,4,3,4,SUB022_SPEECH001
25,4,4,4,4,4,3,4,4,3,4,SUB022_SPEECH002
26,5,5,6,4,6,5,5,4,4,4,SUB023_SPEECH001
27,4,4,4,4,6,5,4,6,4,5,SUB023_SPEECH002
28,6,4,4,4,6,5,5,5,5,5,SUB024_SPEECH001
29,6,4,6,4,6,5,5,4,5,4,SUB024_SPEECH002
30,6,4,4,4,6,5,5,5,4,5,SUB025_SPEECH001
31,6,4,5,6,6,5,5,6,5,6,SUB025_SPEECH002
32,4,4,4,4,6,6,5,6,4,5,SUB026_SPEECH001
33,5,4,5,4,6,5,5,6,4,6,SUB026_SPEECH002
34,6,4,6,6,6,6,5,6,5,7,SUB027_SPEECH001
35,6,6,6,6,6,5,5,4,5,4,SUB027_SPEECH002
36,6,6,6,6,6,6,5,6,5,5,SUB028_SPEECH001
37,6,6,6,4,7,6,6,6,5,6,SUB028_SPEECH002
38,6,5,4,6,6,6,5,5,5,5,SUB029_SPEECH001
39,4,4,4,4,4,5,4,3,4,3,SUB029_SPEECH002
40,4,4,4,4,4,5,5,4,4,4,SUB030_SPEECH001
41,4,4,4,4,4,4,5,4,4,4,SUB030_SPEECH002
42,4,4,4,4,6,5,4,4,4,5,SUB031_SPEECH001
43,4,4,4,4,4,5,4,4,3,3,SUB031_SPEECH002
44,6,4,4,4,6,5,5,5,6,5,SUB032_SPEECH001
45,4,4,5,4,6,5,4,5,4,6,SUB032_SPEECH002
46,5,4,5,4,6,4,4,4,4,4,SUB033_SPEECH001
47,4,4,4,4,4,3,3,4,4,4,SUB033_SPEECH002
48,6,4,5,4,5,6,6,6,6,6,SUB034_SPEECH001
49,6,4,6,6,5,6,6,6,5,6,SUB034_SPEECH002
50,6,4,6,5,6,4,5,6,5,6,SUB035_SPEECH001
51,6,4,4,4,6,5,5,4,4,5,SUB035_SPEECH002
52,6,4,6,4,6,5,4,6,5,6,SUB038_SPEECH001
53,6,4,6,6,7,6,5,6,5,6,SUB038_SPEECH002
54,4,4,5,4,6,4,4,4,3,4,SUB039_SPEECH001
55,4,4,4,4,4,3,3,3,3,3,SUB039_SPEECH002
56,4,4,4,4,4,4,4,4,4,4,SUB042_SPEECH001
57,5,4,5,4,6,4,5,5,5,5,SUB042_SPEECH002
58,4,4,4,4,4,4,4,4,4,4,SUB043_SPEECH001
59,4,4,4,4,4,5,5,4,4,4,SUB043_SPEECH002
60,6,4,4,4,6,6,6,7,6,7,SUB044_SPEECH001
61,7,7,7,7,7,8,6,7,6,7,SUB044_SPEECH002
62,4,3,4,3,4,4,4,4,4,3,SUB045_SPEECH002
63,4,4,4,4,5,4,4,5,4,4,SUB046_SPEECH002
64,6,4,5,4,6,5,5,6,4,5,SUB047_SPEECH001
65,4,5,4,4,6,5,4,5,4,5,SUB047_SPEECH002
66,4,4,5,4,6,6,5,5,5,6,SUB048_SPEECH001
67,6,4,5,4,4,8,6,6,6,7,SUB048_SPEECH002
68,4,4,4,4,4,4,3,4,4,4,SUB049_SPEECH001
69,4,3,4,4,4,4,4,4,4,4,SUB049_SPEECH002
70,6,4,4,4,6,6,6,6,5,6,SUB050_SPEECH001
71,6,4,4,4,6,6,5,6,4,6,SUB050_SPEECH002
72,4,4,4,4,4,6,5,4,4,5,SUB051_SPEECH001
73,4,4,4,4,4,4,4,4,4,4,SUB051_SPEECH002
74,6,4,6,4,6,5,5,6,5,5,SUB052_SPEECH001
75,4,4,4,4,6,4,3,4,4,4,SUB052_SPEECH002
76,6,6,6,5,6,6,6,6,5,6,SUB054_SPEECH001
77,6,6,6,6,7,5,6,6,6,6,SUB054_SPEECH002
78,4,4,4,4,4,6,6,6,5,6,SUB055_SPEECH001
79,6,5,5,5,6,6,6,6,6,6,SUB055_SPEECH002
80,5,4,4,4,4,6,5,6,5,5,SUB056_SPEECH001
81,7,6,6,6,6,7,7,7,7,5,SUB056_SPEECH002
82,4,4,4,4,4,4,4,4,4,4,SUB057_SPEECH001
83,6,4,4,4,6,4,3,4,5,4,SUB057_SPEECH002
84,5,4,5,4,6,5,6,6,6,5,SUB058_SPEECH001
85,4,4,4,4,6,3,4,4,4,4,SUB058_SPEECH002
86,6,6,6,6,6,5,6,6,5,6,SUB059_SPEECH001
87,7,7,7,6,7,6,6,7,6,6,SUB059_SPEECH002
88,6,4,6,4,6,7,5,7,6,7,SUB060_SPEECH001
89,7,7,7,7,7,6,6,7,7,6,SUB060_SPEECH002
90,4,4,4,4,4,4,4,4,4,4,SUB061_SPEECH001
91,4,4,4,4,6,4,4,4,3,5,SUB061_SPEECH002
92,4,4,4,4,6,4,5,4,4,3,SUB062_SPEECH001
93,4,4,4,4,4,5,4,4,4,5,SUB062_SPEECH002
94,4,4,4,4,4,4,4,4,3,3,SUB063_SPEECH001
95,4,4,4,4,4,3,4,4,3,4,SUB063_SPEECH002
96,6,6,6,6,7,6,6,6,6,7,SUB064_SPEECH001
97,7,6,6,7,7,7,7,6,6,7,SUB064_SPEECH002
98,6,6,6,4,7,6,5,6,6,6,SUB065_SPEECH001
99,6,6,6,6,7,6,6,5,5,6,SUB065_SPEECH002
100,4,4,4,4,4,5,5,4,4,5,SUB066_SPEECH001
101,4,4,4,4,6,4,4,4,4,5,SUB066_SPEECH002
102,4,4,4,3,4,4,4,4,3,4,SUB067_SPEECH001
103,4,4,4,4,5,4,5,4,4,4,SUB068_SPEECH001
104,4,4,4,4,6,4,4,4,4,5,SUB068_SPEECH002
105,4,4,4,3,4,5,4,4,4,5,SUB069_SPEECH001
106,4,4,4,4,5,5,5,6,4,5,SUB069_SPEECH002
107,6,4,5,5,6,5,5,4,4,6,SUB070_SPEECH001
108,4,4,4,4,6,5,4,5,4,5,SUB070_SPEECH002
109,4,4,4,4,6,5,4,4,4,5,SUB071_SPEECH001
110,5,4,4,4,6,6,5,6,5,6,SUB071_SPEECH002
111,6,4,6,4,7,5,5,6,5,5,SUB072_SPEECH001
112,6,4,6,6,6,6,6,6,5,6,SUB072_SPEECH002
113,5,6,4,4,6,6,5,6,4,5,SUB073_SPEECH001
114,6,4,4,4,6,4,4,4,4,5,SUB074_SPEECH001
115,5,4,4,4,6,5,5,6,4,5,SUB074_SPEECH002
116,4,4,5,4,6,5,5,6,4,6,SUB075_SPEECH001
117,4,4,4,4,6,5,6,5,4,5,SUB075_SPEECH002
118,4,3,4,4,4,4,4,4,4,4,SUB076_SPEECH001
119,6,4,4,4,6,4,5,4,4,4,SUB076_SPEECH002
120,6,6,6,6,7,6,6,7,6,7,SUB077_SPEECH001
121,7,7,7,7,7,7,7,7,7,7,SUB077_SPEECH002
122,5,4,4,4,6,6,6,6,5,6,SUB078_SPEECH001
123,6,4,5,6,6,6,6,5,6,5,SUB078_SPEECH002
124,7,6,7,6,7,6,7,7,6,8,SUB079_SPEECH001
