name,rating
SUB001_SPEECH001,2
SUB002_SPEECH001,3
SUB003_SPEECH001,2
SUB005_SPEECH001,4
SUB005_SPEECH002,2
SUB006_SPEECH001,1
SUB006_SPEECH002,1
SUB007_SPEECH001,3
SUB007_SPEECH002,2
SUB008_SPEECH001,3
SUB013_SPEECH001,7
SUB013_SPEECH002,4
SUB015_SPEECH001,1
SUB015_SPEECH002,1
SUB016_SPEECH001,1
SUB016_SPEECH002,2
SUB017_SPEECH002,3
SUB018_SPEECH001,3
SUB018_SPEECH002,1
SUB019_SPEECH002,3
SUB020_SPEECH001,4
SUB020_SPEECH002,3
SUB021_SPEECH001,2
SUB021_SPEECH002,2
SUB022_SPEECH001,3
SUB022_SPEECH002,4
SUB023_SPEECH001,2
SUB023_SPEECH002,2
SUB024_SPEECH001,1
SUB024_SPEECH002,1
SUB025_SPEECH001,3
SUB025_SPEECH002,2
SUB026_SPEECH001,3
SUB026_SPEECH002,2
SUB027_SPEECH001,2
SUB027_SPEECH002,1
SUB028_SPEECH001,4
SUB028_SPEECH002,3
SUB029_SPEECH001,2
SUB029_SPEECH002,1
SUB030_SPEECH001,6
SUB030_SPEECH002,1
SUB031_SPEECH001,2
SUB031_SPEECH002,1
SUB032_SPEECH001,1
SUB032_SPEECH002,1
SUB033_SPEECH001,2
SUB033_SPEECH002,3
SUB034_SPEECH001,1
SUB034_SPEECH002,2
SUB035_SPEECH001,1
SUB035_SPEECH002,3
SUB038_SPEECH001,1
SUB038_SPEECH002,2
SUB039_SPEECH001,2
SUB039_SPEECH002,2
SUB042_SPEECH001,4
SUB042_SPEECH002,1
SUB043_SPEECH001,2
SUB043_SPEECH002,2
SUB044_SPEECH001,2
SUB044_SPEECH002,1
SUB045_SPEECH002,2
SUB046_SPEECH002,1
SUB047_SPEECH001,1
SUB047_SPEECH002,2
SUB048_SPEECH001,1
SUB048_SPEECH002,3
SUB049_SPEECH001,1
SUB049_SPEECH002,2
SUB050_SPEECH001,4
SUB050_SPEECH002,2
SUB051_SPEECH001,1
SUB051_SPEECH002,2
SUB052_SPEECH001,4
SUB052_SPEECH002,2
SUB054_SPEECH001,3
SUB054_SPEECH002,7
SUB055_SPEECH001,3
SUB055_SPEECH002,4
SUB056_SPEECH001,1
SUB056_SPEECH002,1
SUB057_SPEECH001,3
SUB057_SPEECH002,3
SUB058_SPEECH001,1
SUB058_SPEECH002,2
SUB059_SPEECH001,2
SUB059_SPEECH002,7
SUB060_SPEECH001,3
SUB060_SPEECH002,2
SUB061_SPEECH001,1
SUB061_SPEECH002,3
SUB062_SPEECH001,2
SUB062_SPEECH002,1
SUB063_SPEECH001,2
SUB063_SPEECH002,2
SUB064_SPEECH001,2
SUB064_SPEECH002,3
SUB065_SPEECH001,4
SUB065_SPEECH002,1
SUB066_SPEECH001,2
SUB066_SPEECH002,1
SUB067_SPEECH001,1
SUB068_SPEECH001,2
SUB068_SPEECH002,2
SUB069_SPEECH001,2
SUB069_SPEECH002,3
SUB070_SPEECH001,1
SUB070_SPEECH002,2
SUB071_SPEECH001,1
SUB071_SPEECH002,1
SUB072_SPEECH001,4
SUB072_SPEECH002,7
SUB073_SPEECH001,2
SUB074_SPEECH001,1
SUB074_SPEECH002,4
SUB075_SPEECH001,1
SUB075_SPEECH002,2
SUB076_SPEECH001,3
SUB076_SPEECH002,2
SUB077_SPEECH001,7
SUB077_SPEECH002,7
SUB078_SPEECH001,7
SUB078_SPEECH002,4
SUB079_SPEECH001,2
SUB079_SPEECH002,2
SUB080_SPEECH001,2
SUB080_SPEECH002,1
