,Speech,Mean_Score
0,SUB001_SPEECH001,5.25
1,SUB002_SPEECH001,4.461111111111111
2,SUB003_SPEECH001,4.1
3,SUB005_SPEECH001,4.1
4,SUB005_SPEECH002,4.316666666666666
5,SUB006_SPEECH001,4.677777777777778
6,SUB006_SPEECH002,4.966666666666667
7,SUB007_SPEECH001,5.238888888888889
8,SUB007_SPEECH002,4.688888888888889
9,SUB008_SPEECH001,3.816666666666667
10,SUB013_SPEECH001,5.666666666666667
11,SUB013_SPEECH002,5.811111111111111
12,SUB015_SPEECH001,4.638888888888889
13,SUB015_SPEECH002,5.2
14,SUB016_SPEECH001,3.4944444444444445
15,SUB016_SPEECH002,4.022222222222222
16,SUB017_SPEECH002,4.2
17,SUB018_SPEECH001,4.055555555555555
18,SUB018_SPEECH002,4.772222222222222
19,SUB019_SPEECH002,5.633333333333334
20,SUB020_SPEECH001,6.061111111111111
21,SUB020_SPEECH002,6.111111111111111
22,SUB021_SPEECH001,4.3
23,SUB021_SPEECH002,4.816666666666666
24,SUB022_SPEECH001,4.65
25,SUB022_SPEECH002,4.2444444444444445
26,SUB023_SPEECH001,5.638888888888889
27,SUB023_SPEECH002,5.216666666666667
28,SUB024_SPEECH001,5.388888888888889
29,SUB024_SPEECH002,5.411111111111111
30,SUB025_SPEECH001,5.9944444444444445
31,SUB025_SPEECH002,5.527777777777778
32,SUB026_SPEECH001,5.25
33,SUB026_SPEECH002,5.738888888888889
34,SUB027_SPEECH001,5.05
35,SUB027_SPEECH002,5.516666666666667
36,SUB028_SPEECH001,5.533333333333333
37,SUB028_SPEECH002,6.566666666666666
38,SUB029_SPEECH001,5.283333333333333
39,SUB029_SPEECH002,3.688888888888889
40,SUB030_SPEECH001,5.455555555555556
41,SUB030_SPEECH002,4.8277777777777775
42,SUB031_SPEECH001,5.227777777777778
43,SUB031_SPEECH002,4.85
44,SUB032_SPEECH001,5.277777777777778
45,SUB032_SPEECH002,5.694444444444445
46,SUB033_SPEECH001,5.094444444444444
47,SUB033_SPEECH002,5.1
48,SUB034_SPEECH001,5.711111111111111
49,SUB034_SPEECH002,5.35
50,SUB035_SPEECH001,5.888888888888889
51,SUB035_SPEECH002,5.311111111111111
52,SUB038_SPEECH001,5.5777777777777775
53,SUB038_SPEECH002,5.738888888888889
54,SUB039_SPEECH001,5.011111111111111
55,SUB039_SPEECH002,4.566666666666666
56,SUB042_SPEECH001,4.772222222222222
57,SUB042_SPEECH002,5.472222222222222
58,SUB043_SPEECH001,5.083333333333333
59,SUB043_SPEECH002,4.622222222222222
60,SUB044_SPEECH001,5.872222222222222
61,SUB044_SPEECH002,6.633333333333334
62,SUB045_SPEECH002,4.533333333333333
63,SUB046_SPEECH002,4.938888888888889
64,SUB047_SPEECH001,5.5777777777777775
65,SUB047_SPEECH002,5.433333333333334
66,SUB048_SPEECH001,5.527777777777778
67,SUB048_SPEECH002,6.194444444444445
68,SUB049_SPEECH001,4.177777777777778
69,SUB049_SPEECH002,4.972222222222222
70,SUB050_SPEECH001,5.5777777777777775
71,SUB050_SPEECH002,4.955555555555556
72,SUB051_SPEECH001,4.822222222222222
73,SUB051_SPEECH002,4.972222222222222
74,SUB052_SPEECH001,5.777777777777778
75,SUB052_SPEECH002,5.183333333333334
76,SUB054_SPEECH001,6.477777777777778
77,SUB054_SPEECH002,6.8277777777777775
78,SUB055_SPEECH001,6.061111111111111
79,SUB055_SPEECH002,5.55
80,SUB056_SPEECH001,5.683333333333334
81,SUB056_SPEECH002,6.4
82,SUB057_SPEECH001,5.166666666666667
83,SUB057_SPEECH002,5.233333333333333
84,SUB058_SPEECH001,5.894444444444445
85,SUB058_SPEECH002,5.083333333333333
86,SUB059_SPEECH001,6.394444444444445
87,SUB059_SPEECH002,6.555555555555555
88,SUB060_SPEECH001,6.383333333333334
89,SUB060_SPEECH002,6.616666666666666
90,SUB061_SPEECH001,5.2
91,SUB061_SPEECH002,5.116666666666666
92,SUB062_SPEECH001,5.105555555555555
93,SUB062_SPEECH002,5.216666666666667
94,SUB063_SPEECH001,4.522222222222222
95,SUB063_SPEECH002,4.811111111111111
96,SUB064_SPEECH001,6.116666666666666
97,SUB064_SPEECH002,6.527777777777778
98,SUB065_SPEECH001,5.988888888888889
99,SUB065_SPEECH002,6.166666666666667
100,SUB066_SPEECH001,4.983333333333333
101,SUB066_SPEECH002,5.227777777777778
102,SUB067_SPEECH001,4.372222222222222
103,SUB068_SPEECH001,5.094444444444444
104,SUB068_SPEECH002,4.583333333333333
105,SUB069_SPEECH001,4.733333333333333
106,SUB069_SPEECH002,5.277777777777778
107,SUB070_SPEECH001,5.894444444444445
108,SUB070_SPEECH002,4.788888888888889
109,SUB071_SPEECH001,5.016666666666667
110,SUB071_SPEECH002,5.488888888888889
111,SUB072_SPEECH001,6.322222222222222
112,SUB072_SPEECH002,6.072222222222222
113,SUB073_SPEECH001,5.677777777777778
114,SUB074_SPEECH001,4.983333333333333
115,SUB074_SPEECH002,5.511111111111111
116,SUB075_SPEECH001,5.605555555555555
117,SUB075_SPEECH002,5.161111111111111
118,SUB076_SPEECH001,4.266666666666667
119,SUB076_SPEECH002,5.288888888888889
120,SUB077_SPEECH001,6.633333333333334
121,SUB077_SPEECH002,6.811111111111111
122,SUB078_SPEECH001,6.138888888888889
123,SUB078_SPEECH002,6.533333333333333
124,SUB079_SPEECH001,6.472222222222222
125,SUB079_SPEECH002,6.4944444444444445
126,SUB080_SPEECH001,4.872222222222222
127,SUB080_SPEECH002,4.55
